Time Minutes;TC01.SP C;FC03.SP kg/hr;STREAMS("GLPHD-PR").Zn("ETHANE") kmol/kmol;STREAMS("GLPHD-PR").Zn("PENTANE") kmol/kmol
143;171;10648;0.0137959;0.0206446
144;171;10648;0.0137958;0.0206539
145;171;10648;0.0137958;0.0206634
146;171;10648;0.0137958;0.0206728
147;171;10648;0.0137957;0.0206822
148;171;10648;0.0137957;0.0206916
149;171;10648;0.0137957;0.0207011
150;171;10648;0.0137957;0.0207105
151;171;10648;0.0137957;0.0207199
152;171;10648;0.0137957;0.0207294
153;171;10648;0.0137957;0.0207388
154;171;10648;0.0137957;0.0207482
155;171;10648;0.0137957;0.0207577
156;171;10648;0.0137957;0.0207671
157;171;10648;0.0137957;0.0207764
158;171;10648;0.0137957;0.0207858
159;171;10648;0.0137957;0.0207951
160;171;10648;0.0137958;0.0208044
161;171;10648;0.0137958;0.0208136
162;171;10648;0.0137958;0.0208228
163;171;10648;0.0137958;0.0208321
164;171;10648;0.0137958;0.0208413
165;171;10648;0.0137958;0.0208504
166;171;10648;0.0137959;0.0208595
167;171;10648;0.0137959;0.0208686
168;171;10648;0.0137959;0.0208776
169;171;10648;0.0137959;0.0208865
170;171;10648;0.0137959;0.0208955
171;171;10648;0.0137959;0.0209044
172;171;10648;0.013796;0.0209133
173;171;10648;0.013796;0.0209221
174;171;10648;0.013796;0.0209309
175;171;10648;0.013796;0.0209396
176;171;10648;0.013796;0.0209484
177;171;10648;0.0137961;0.020957
178;171;10648;0.0137961;0.0209656
179;171;10648;0.0137961;0.0209743
180;171;10648;0.0137961;0.0209828
181;171;10648;0.0137962;0.0209913
182;171;10648;0.0137962;0.0209998
183;171;10648;0.0137962;0.0210082
184;171;10648;0.0137962;0.0210166
185;171;10648;0.0137962;0.0210249
186;171;10648;0.0137963;0.0210332
187;171;10648;0.0137963;0.0210415
188;171;10648;0.0137963;0.0210497
189;171;10648;0.0137963;0.0210579
190;171;10648;0.0137963;0.021066
191;171;10648;0.0137964;0.0210742
192;171;10648;0.0137964;0.0210822
193;171;10648;0.0137964;0.0210902
194;171;10648;0.0137964;0.0210982
195;171;10648;0.0137964;0.0211061
196;171;10648;0.0137965;0.021114
197;171;10648;0.0137965;0.0211219
198;171;10648;0.0137965;0.0211297
199;171;10648;0.0137965;0.0211375
200;171;10648;0.0137965;0.0211453
201;171;10648;0.0137966;0.0211529
202;171;10648;0.0137966;0.0211606
203;171;10648;0.0137966;0.0211683
