Time Minutes;TC01.SP C;FC03.SP kg/hr;STREAMS("GLPHD-PR").Zn("ETHANE") kmol/kmol;STREAMS("GLPHD-PR").Zn("PENTANE") kmol/kmol
725;166;11148;0.0139733;0.0150734
726;166;11148;0.0139733;0.0150729
727;166;11148;0.0139733;0.0150723
728;166;11148;0.0139733;0.0150717
729;166;11148;0.0139733;0.0150711
730;166;11148;0.0139733;0.0150705
731;166;11148;0.0139733;0.0150699
732;166;11148;0.0139733;0.0150692
733;166;11148;0.0139733;0.0150686
734;166;11148;0.0139734;0.015068
735;166;11148;0.0139734;0.0150673
736;166;11148;0.0139734;0.0150667
737;166;11148;0.0139734;0.015066
738;166;11148;0.0139734;0.0150654
739;166;11148;0.0139734;0.0150647
740;166;11148;0.0139734;0.015064
741;166;11148;0.0139734;0.0150634
742;166;11148;0.0139734;0.0150627
743;166;11148;0.0139734;0.015062
744;166;11148;0.0139734;0.0150614
745;166;11148;0.0139734;0.0150607
746;166;11148;0.0139734;0.01506
747;166;11148;0.0139734;0.0150593
748;166;11148;0.0139733;0.0150587
749;166;11148;0.0139733;0.015058
750;166;11148;0.0139733;0.0150573
751;166;11148;0.0139733;0.0150567
752;166;11148;0.0139733;0.015056
753;166;11148;0.0139733;0.0150553
754;166;11148;0.0139733;0.0150546
755;166;11148;0.0139733;0.015054
756;166;11148;0.0139733;0.0150533
757;166;11148;0.0139733;0.0150527
758;166;11148;0.0139733;0.015052
759;166;11148;0.0139733;0.0150513
760;166;11148;0.0139733;0.0150507
761;166;11148;0.0139733;0.01505
762;166;11148;0.0139733;0.0150494
763;166;11148;0.0139733;0.0150487
764;166;11148;0.0139733;0.015048
765;166;11148;0.0139733;0.0150474
766;166;11148;0.0139733;0.0150467
767;166;11148;0.0139733;0.0150461
768;166;11148;0.0139733;0.0150454
769;166;11148;0.0139733;0.0150448
770;166;11148;0.0139733;0.0150442
771;166;11148;0.0139733;0.0150435
772;166;11148;0.0139733;0.0150429
773;166;11148;0.0139733;0.0150423
774;166;11148;0.0139733;0.0150416
775;166;11148;0.0139732;0.015041
776;166;11148;0.0139732;0.0150404
777;166;11148;0.0139732;0.0150397
778;166;11148;0.0139732;0.0150391
779;166;11148;0.0139732;0.0150385
780;166;11148;0.0139732;0.0150379
781;166;11148;0.0139732;0.0150373
782;166;11148;0.0139732;0.0150367
783;166;11148;0.0139732;0.0150361
784;166;11148;0.0139732;0.0150355
785;166;11148;0.0139732;0.0150349
786;166;11148;0.0139732;0.0150343
787;166;11148;0.0139732;0.0150337
788;166;11148;0.0139732;0.0150331
789;166;11148;0.0139732;0.0150326
790;166;11148;0.0139732;0.015032
791;166;11148;0.0139732;0.0150314
792;166;11148;0.0139732;0.0150309
793;166;11148;0.0139732;0.0150303
794;166;11148;0.0139732;0.0150297
795;166;11148;0.0139732;0.0150291
796;166;11148;0.0139732;0.0150286
797;166;11148;0.0139731;0.015028
798;166;11148;0.0139731;0.0150275
799;166;11148;0.0139731;0.0150269
800;166;11148;0.0139731;0.0150264
801;166;11148;0.0139731;0.0150258
802;166;11148;0.0139731;0.0150253
803;166;11148;0.0139731;0.0150247
804;166;11148;0.0139731;0.0150242
805;166;11148;0.0139731;0.0150237
806;166;11148;0.0139731;0.0150231
807;166;11148;0.0139731;0.0150226
808;166;10648;0.0139731;0.015022
809;166;10648;0.0139509;0.0150908
810;166;10648;0.0139287;0.0152041
811;166;10648;0.0139077;0.0153274
812;166;10648;0.0138949;0.0154468
813;166;10648;0.0138935;0.0155594
814;166;10648;0.0138944;0.0156639
815;166;10648;0.0138931;0.0157602
816;166;10648;0.0138925;0.0158483
817;166;10648;0.0138945;0.0159274
818;166;10648;0.0138978;0.0159964
819;166;10648;0.0139012;0.0160553
820;166;10648;0.0139049;0.0161042
821;166;10648;0.0139091;0.0161432
822;166;10648;0.0139138;0.0161727
823;166;10648;0.0139185;0.0161932
824;166;10648;0.0139232;0.0162054
825;166;10648;0.0139279;0.01621
826;166;10648;0.0139325;0.0162078
827;166;10648;0.013937;0.0161994
828;166;10648;0.0139412;0.0161858
829;166;10648;0.0139452;0.0161677
830;166;10648;0.013949;0.0161458
831;166;10648;0.0139525;0.0161208
832;166;10648;0.0139557;0.0160933
833;166;10648;0.0139586;0.016064
834;166;10648;0.0139613;0.0160333
835;166;10648;0.0139636;0.0160018
836;166;10648;0.0139657;0.0159698
837;166;10648;0.0139676;0.0159379
838;166;10648;0.0139692;0.015906
839;166;10648;0.0139706;0.0158747
840;166;10648;0.0139718;0.0158442
841;166;10648;0.0139728;0.0158146
842;166;10648;0.0139737;0.0157861
843;166;10648;0.0139743;0.0157588
844;166;10648;0.0139748;0.0157328
845;166;10648;0.0139753;0.0157081
846;166;10648;0.0139755;0.0156848
847;166;10648;0.0139757;0.0156629
848;166;10648;0.0139758;0.0156423
849;166;10648;0.0139759;0.0156231
850;166;10648;0.0139758;0.0156052
851;166;10648;0.0139758;0.0155886
852;166;10648;0.0139756;0.0155732
853;166;10648;0.0139754;0.0155591
854;166;10648;0.0139753;0.015546
855;166;10648;0.013975;0.015534
856;166;10648;0.0139748;0.0155229
857;166;10648;0.0139746;0.0155129
858;166;10648;0.0139744;0.0155036
859;166;10648;0.0139741;0.0154952
860;166;10648;0.0139739;0.0154875
861;166;10648;0.0139737;0.0154805
862;166;10648;0.0139734;0.0154741
863;166;10648;0.0139732;0.0154683
864;166;10648;0.013973;0.015463
865;166;10648;0.0139728;0.0154582
866;166;10648;0.0139725;0.0154538
867;166;10648;0.0139724;0.0154498
868;166;10648;0.0139722;0.0154462
869;166;10648;0.013972;0.0154428
870;166;10648;0.0139719;0.0154398
871;166;10648;0.0139717;0.015437
872;166;10648;0.0139716;0.0154344
873;166;10648;0.0139714;0.015432
874;166;10648;0.0139713;0.0154298
875;166;10648;0.0139712;0.0154278
876;166;10648;0.0139711;0.0154258
877;166;10648;0.013971;0.015424
878;166;10648;0.0139709;0.0154223
879;166;10648;0.0139708;0.0154208
880;166;10648;0.0139708;0.0154192
881;166;10648;0.0139707;0.0154178
882;166;10648;0.0139706;0.0154164
883;166;10648;0.0139705;0.0154152
884;166;10648;0.0139705;0.0154139
885;166;10648;0.0139704;0.0154127
886;166;10648;0.0139704;0.0154115
887;166;10648;0.0139704;0.0154104
888;166;10648;0.0139703;0.0154093
889;166;10648;0.0139703;0.0154083
890;166;10648;0.0139703;0.0154072
891;166;10648;0.0139702;0.0154062
892;166;10648;0.0139702;0.0154052
893;166;10648;0.0139701;0.0154042
894;166;10648;0.0139701;0.0154033
895;166;10648;0.0139701;0.0154024
896;166;10648;0.0139701;0.0154014
897;166;10648;0.0139701;0.0154005
898;166;10648;0.0139701;0.0153997
899;166;10648;0.01397;0.0153988
900;166;10648;0.01397;0.0153979
901;166;10648;0.01397;0.015397
902;166;10648;0.01397;0.0153962
903;166;10648;0.01397;0.0153954
904;166;10648;0.01397;0.0153946
905;166;10648;0.0139699;0.0153938
906;166;10648;0.0139699;0.015393
907;166;10648;0.0139699;0.0153922
908;166;10648;0.0139699;0.0153914
909;166;10648;0.0139699;0.0153906
910;166;10648;0.0139699;0.0153899
911;166;10648;0.0139699;0.0153891
912;166;10648;0.0139699;0.0153884
913;166;10648;0.0139699;0.0153876
914;166;10648;0.0139699;0.0153869
915;166;10648;0.0139699;0.0153862
916;166;10648;0.0139698;0.0153855
917;166;10648;0.0139698;0.0153847
918;166;10648;0.0139698;0.015384
919;166;10648;0.0139698;0.0153833
920;166;10648;0.0139698;0.0153826
921;166;10648;0.0139698;0.0153819
922;166;10648;0.0139698;0.0153813
923;166;10648;0.0139698;0.0153806
924;166;10648;0.0139698;0.0153799
925;166;10648;0.0139698;0.0153792
926;166;10648;0.0139698;0.0153786
927;166;10648;0.0139698;0.0153779
928;166;10648;0.0139698;0.0153773
929;166;10648;0.0139698;0.0153766
930;166;10648;0.0139698;0.015376
931;166;10648;0.0139698;0.0153754
932;166;10648;0.0139697;0.0153747
933;166;10648;0.0139697;0.0153741
934;166;10648;0.0139697;0.0153735
935;166;10648;0.0139697;0.0153729
936;166;10648;0.0139697;0.0153723
937;166;10648;0.0139697;0.0153717
938;166;10648;0.0139697;0.0153711
939;166;10648;0.0139697;0.0153705
940;166;10648;0.0139697;0.0153699
941;166;10648;0.0139697;0.0153693
942;166;10648;0.0139697;0.0153687
943;166;10648;0.0139697;0.0153681
944;166;10648;0.0139697;0.0153675
945;166;10648;0.0139697;0.015367
946;166;10648;0.0139697;0.0153664
947;166;10648;0.0139697;0.0153658
948;166;10648;0.0139697;0.0153653
949;166;10648;0.0139696;0.0153647
950;166;10648;0.0139696;0.0153642
951;166;10648;0.0139696;0.0153636
952;166;10648;0.0139696;0.015363
953;166;10648;0.0139696;0.0153625
954;166;10648;0.0139696;0.015362
955;166;10648;0.0139696;0.0153615
956;166;10648;0.0139696;0.0153609
957;166;10648;0.0139696;0.0153604
958;166;10648;0.0139696;0.0153599
959;166;10648;0.0139696;0.0153594
960;166;10648;0.0139696;0.0153588
961;166;10648;0.0139696;0.0153583
962;166;10648;0.0139696;0.0153578
963;166;10648;0.0139696;0.0153573
964;166;10648;0.0139696;0.0153568
965;166;10648;0.0139696;0.0153563
966;166;10648;0.0139696;0.0153558
967;166;10648;0.0139696;0.0153553
968;166;10648;0.0139696;0.0153548
969;166;10648;0.0139696;0.0153543
970;166;10648;0.0139696;0.0153538
971;166;10648;0.0139695;0.0153533
972;166;10648;0.0139695;0.0153529
973;166;10648;0.0139695;0.0153524
974;166;10648;0.0139695;0.0153519
975;166;10648;0.0139695;0.0153514
976;166;10648;0.0139695;0.0153509
977;166;10648;0.0139695;0.0153505
978;166;10648;0.0139695;0.01535
979;166;10648;0.0139695;0.0153495
